GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
currency-app,com.xische.model,Item,126,25,26,0,0,5,19,5,6,5
currency-app,com.xische.model,UserType,0,34,0,0,0,4,0,1,0,1
currency-app,com.xische.controller,CalculationController,0,16,0,0,0,3,0,2,0,2
currency-app,com.xische,CurrencyApplication,5,35,0,0,2,12,1,3,1,3
currency-app,com.xische.security,SecurityConfig,0,75,0,0,0,19,0,4,0,4
currency-app,com.xische.util,DiscountCalculator,12,92,3,5,2,21,3,8,0,7
currency-app,com.xische.service,CalculationService,0,32,0,0,0,7,0,3,0,3
currency-app,com.xische.service,ExchangeService,0,52,0,0,0,7,0,4,0,4
currency-app,com.xische.model.response,BillResponse,106,15,22,0,1,3,17,3,6,3
currency-app,com.xische.model.response,ExchangeRateResponse,426,22,76,0,10,2,59,6,21,6
currency-app,com.xische.exception,GlobalExceptionHandler,6,9,0,0,1,2,1,2,1,2
currency-app,com.xische.exception,InvalidCurrencyException,0,4,0,0,0,2,0,1,0,1
currency-app,com.xische.model.request,BillRequest,213,45,48,0,0,7,28,13,4,13
